FrameIndex,JointIndex,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
1,25,10.33723,1.10252,9.1598,0.80322,-0.1874,-0.25828,0.503,1,1,1
1,26,10.20119,1.10374,9.04839,-0.98445,0.09838,-0.13038,-0.06466,1,1,1
1,27,10.23077,1.10443,9.07923,-0.98445,0.09838,-0.13038,-0.06466,1,1,1
1,28,10.24858,1.11933,9.13475,-0.9889,0.02585,-0.14469,-0.02159,1.00005,1.00004,0.99999
1,29,10.25946,1.12152,9.17126,-0.9852,-0.08983,-0.14264,-0.03118,0.99996,0.99995,0.99995
1,30,10.26647,1.11741,9.19433,-0.98368,-0.13059,-0.11716,-0.03979,1.00005,1.00001,1
1,31,10.27155,1.1128,9.21578,-0.98368,-0.13059,-0.11716,-0.03979,1,1,1
1,32,10.18885,1.09939,9.08876,-0.9597,0.04114,-0.0096,-0.27783,1.00002,1.00001,0.99996
1,33,10.18865,1.10326,9.13453,-0.9796,0.06931,0.03032,-0.18616,0.99996,1.00004,1.00007
1,34,10.18601,1.10711,9.16509,-0.96349,-0.10871,0.02762,-0.24311,1.00002,1.00001,0.99994
1,35,10.18601,1.10256,9.18501,-0.96189,-0.113,-0.02398,-0.24784,1.00002,0.99997,0.99997
1,36,10.1879,1.09918,9.20676,-0.96189,-0.113,-0.02398,-0.24784,1,1,1
1,37,10.21436,1.104,9.08125,-0.98445,0.09838,-0.13038,-0.06466,1,1,1
1,38,10.22673,1.12169,9.13948,-0.99323,0.02716,-0.08881,-0.06981,0.99996,1.00001,1.00001
1,39,10.23419,1.12456,9.18193,-0.98897,-0.09025,-0.09367,-0.07087,1.00003,1,1.00004
1,40,10.23968,1.11998,9.20872,-0.98453,-0.09851,-0.08955,-0.11393,0.99997,1.00001,0.99996
1,41,10.24414,1.11664,9.23324,-0.98453,-0.09851,-0.08955,-0.11393,1,1,1
1,42,10.21396,1.11272,9.09394,-0.98445,0.09838,-0.13038,-0.06466,1,1,1
1,43,10.19621,1.10369,9.08665,-0.98445,0.09838,-0.13038,-0.06466,1,1,1
1,44,10.20714,1.11436,9.13877,-0.99059,0.04148,-0.05303,-0.11912,0.99999,1.00004,1.00004
1,45,10.21088,1.11808,9.17766,-0.98108,-0.10335,-0.07298,-0.14651,1.00004,0.99993,0.99994
1,46,10.21552,1.11323,9.20354,-0.97001,-0.15474,-0.10931,-0.1523,0.99993,0.99997,1.00001
1,47,10.2212,1.10807,9.22684,-0.97001,-0.15474,-0.10931,-0.1523,1,1.00006,1
1,48,10.2414,1.09888,9.07552,-0.72614,0.29403,-0.35845,0.50772,1.00002,1.00003,0.99998
1,49,10.26819,1.10094,9.09417,-0.82888,0.12336,-0.22478,0.49721,0.99999,1,0.99996
1,50,10.28504,1.10029,9.1237,-0.78002,0.04982,-0.21942,0.58391,0.99999,0.99996,1
2,51,10.29571,1.09683,9.14578,-0.78002,0.04982,-0.21942,0.58391,1,1,1
2,0,10.43416,1.09487,9.06311,0.9832,-0.07914,-0.12943,-0.10151,1,1,1
2,1,10.40449,1.09569,9.09407,0.9832,-0.07914,-0.12943,-0.10151,1,1,1
2,2,10.38709,1.10957,9.14979,0.97807,-0.02746,-0.19852,-0.05676,1.00005,1.00004,0.99999
2,3,10.37239,1.11248,9.18489,0.97768,0.02222,-0.19562,-0.07336,0.99996,0.99995,0.99995
2,4,10.36296,1.11212,9.20745,0.98119,0.02375,-0.16939,-0.08953,1.00005,1.00001,1
2,5,10.35583,1.11271,9.22881,0.98119,0.02375,-0.16939,-0.08953,1,1,1
2,6,10.44579,1.0878,9.1033,0.95037,-0.01757,-0.00555,-0.31056,1.00002,1.00001,0.99996
2,7,10.4458,1.08949,9.1492,0.97182,-0.08093,-0.02258,-0.22023,0.99996,1.00004,1.00007
2,8,10.44555,1.09466,9.17968,0.96193,0.05732,-0.01954,-0.2665,1.00002,1.00001,0.99994
2,9,10.44415,1.09262,9.19996,0.95864,0.06389,-0.07231,-0.26777,1.00002,0.99997,0.99997
2,10,10.44075,1.09194,9.22178,0.95864,0.06389,-0.07231,-0.26777,1,1,1
2,11,10.42087,1.09427,9.09615,0.9832,-0.07914,-0.12943,-0.10151,1,1,1
2,12,10.40901,1.11022,9.15478,0.98241,0.01208,-0.16069,-0.09434,0.99996,1.00001,1.00001
2,13,10.39527,1.1105,9.19573,0.98128,0.0396,-0.15893,-0.10132,1.00003,1,1.00004
2,14,10.3864,1.10924,9.22196,0.97723,0.02144,-0.15293,-0.14552,0.99997,1.00001,0.99996
2,15,10.37934,1.11031,9.24608,0.97723,0.02144,-0.15293,-0.14552,1,1,1
2,16,10.42158,1.10255,9.10894,0.9832,-0.07914,-0.12943,-0.10151,1,1,1
2,17,10.43875,1.09268,9.10135,0.9832,-0.07914,-0.12943,-0.10151,1,1,1
2,18,10.42806,1.10161,9.15385,0.98213,-0.0323,-0.10747,-0.15109,0.99999,1.00004,1.00004
2,19,10.42016,1.10537,9.1921,0.97664,0.02712,-0.11582,-0.17897,1.00004,0.99993,0.99994
2,20,10.41385,1.10506,9.21808,0.97093,0.04426,-0.14829,-0.18262,0.99993,1.00003,1.00001
2,21,10.40719,1.10569,9.24168,0.97093,0.04426,-0.14829,-0.18262,1,1,1
2,22,10.39364,1.09063,9.09036,0.77035,-0.30917,-0.30628,0.46602,1.00002,0.99997,0.99999
