FrameIndex,JointIndex,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
7,4,10.54367,1.0893,9.09695,0.98339,-0.04937,-0.14401,-0.09885,1.00005,1.00001,1
7,5,10.53812,1.09301,9.11804,0.98339,-0.04937,-0.14401,-0.09885,1,1,1
7,6,10.62461,1.06273,8.99645,0.95468,-0.00593,-0.02697,-0.29637,1.00002,1.00001,0.99996
7,7,10.62245,1.06397,9.04149,0.96427,-0.17197,0.00347,-0.20149,0.99996,1.00004,1.00007
7,8,10.62475,1.07399,9.07006,0.96674,-0.01414,-0.00186,-0.25536,1.00002,1.00001,0.99994
7,9,10.62483,1.07456,9.09012,0.96578,-0.01006,-0.05374,-0.25353,1.00002,0.99997,0.99997
7,10,10.62307,1.07674,9.11164,0.96578,-0.01006,-0.05374,-0.25353,1,1,1
7,11,10.6004,1.06828,8.98851,0.98163,-0.0704,-0.15344,-0.0889,1,1,1
7,12,10.58548,1.08316,9.04541,0.9864,-0.03996,-0.12813,-0.09486,0.99996,1.00001,1.00001
7,13,10.57508,1.08754,9.08631,0.98609,-0.03022,-0.12511,-0.10514,1.00003,1,1.00004
7,14,10.56853,1.08988,9.11263,0.9779,-0.08882,-0.11577,-0.14971,0.99997,1.00001,0.99996
7,15,10.56424,1.09599,9.13617,0.9779,-0.08882,-0.11577,-0.14971,1,1,1
7,16,10.60017,1.07643,9.00097,0.98163,-0.0704,-0.15344,-0.0889,1,1,1
7,17,10.61766,1.06734,8.99425,0.98163,-0.0704,-0.15344,-0.0889,1,1,1
7,18,10.60447,1.07529,9.04532,0.97884,-0.117,-0.07787,-0.14871,0.99999,1.00004,1.00004
7,19,10.59993,1.08501,9.08234,0.97831,-0.05633,-0.08953,-0.17808,1.00004,0.99993,0.99994
7,20,10.59586,1.08874,9.10801,0.97454,-0.0588,-0.11885,-0.1808,0.99993,1.00003,1.00001
7,21,10.59161,1.09391,9.13116,0.97454,-0.0588,-0.11885,-0.1808,1,1,1
7,22,10.57413,1.06357,8.98173,0.75514,-0.30645,-0.32566,0.47937,1.00002,0.99997,0.99999
7,23,10.54888,1.06841,9.00101,0.84786,-0.18308,-0.22775,0.44243,0.99999,0.99999,1.00005
7,24,10.53057,1.07205,9.02871,0.77021,-0.24747,-0.30751,0.50097,1.00001,0.99999,1
8,25,10.51261,1.07482,9.04489,0.77021,-0.24747,-0.30751,0.50097,1,1,1
8,0,10.61485,1.06972,8.95649,0.98156,-0.07101,-0.1536,-0.08893,1,1,1
8,1,10.58435,1.06913,8.98568,0.98156,-0.07101,-0.1536,-0.08893,1,1,1
8,2,10.56421,1.08205,9.03943,0.98085,-0.06349,-0.17505,-0.05703,1.00005,1.00004,0.99999
8,3,10.55161,1.08746,9.07431,0.98162,-0.02881,-0.17199,-0.07757,0.99996,0.99995,0.99995
8,4,10.54361,1.08946,9.09687,0.98334,-0.04946,-0.14434,-0.09876,1.00005,1.00001,1
8,5,10.53804,1.09318,9.11796,0.98334,-0.04946,-0.14434,-0.09876,1,1,1
8,6,10.62459,1.06279,8.99642,0.95464,-0.00648,-0.02727,-0.29646,1.00002,1.00001,0.99996
8,7,10.62241,1.06408,9.04147,0.9642,-0.17222,0.00316,-0.20164,0.99996,1.00004,1.00007
8,8,10.62471,1.07412,9.07003,0.96671,-0.01409,-0.00227,-0.25548,1.00002,1.00001,0.99994
8,9,10.62476,1.07469,9.09009,0.96573,-0.00992,-0.05418,-0.25364,1.00002,0.99997,0.99997
8,10,10.62298,1.07687,9.11161,0.96573,-0.00992,-0.05418,-0.25364,1,1,1
8,11,10.60038,1.06833,8.98847,0.98156,-0.07101,-0.1536,-0.08893,1,1,1
8,12,10.58545,1.08329,9.04535,0.98637,-0.04034,-0.12823,-0.09488,0.99996,1.00001,1.00001
8,13,10.57504,1.0877,9.08624,0.98608,-0.03024,-0.12526,-0.10511,1.00003,1,1.00004
8,14,10.56849,1.09004,9.11257,0.9779,-0.08868,-0.11594,-0.14969,0.99997,1.00001,0.99996
8,15,10.56418,1.09615,9.13611,0.9779,-0.08868,-0.11594,-0.14969,1,1,1
8,16,10.60015,1.0765,9.00092,0.98156,-0.07101,-0.1536,-0.08893,1,1,1
8,17,10.61764,1.06739,8.99422,0.98156,-0.07101,-0.1536,-0.08893,1,1,1
8,18,10.60443,1.07541,9.04528,0.97878,-0.11727,-0.0781,-0.14876,0.99999,1.00004,1.00004
8,19,10.59988,1.08515,9.08229,0.97829,-0.05626,-0.08983,-0.17809,1.00004,0.99993,0.99994
8,20,10.59579,1.08888,9.10796,0.97451,-0.05859,-0.11918,-0.18081,0.99993,1.00003,1.00001
8,21,10.59153,1.09405,9.1311,0.97451,-0.05859,-0.11918,-0.18081,1,1,1
8,22,10.57411,1.06362,8.9817,0.75498,-0.30697,-0.32525,0.47958,1.00002,0.99997,0.99999
8,23,10.54887,1.06849,9.00098,0.8478,-0.18353,-0.2273,0.44259,0.99999,0.99999,1.00005
8,24,10.53057,1.07216,9.02868,0.77006,-0.24804,-0.30714,0.50115,1.00001,0.99999,1
9,25,10.51261,1.07495,9.04485,0.77006,-0.24804,-0.30714,0.50115,1,1,1
9,0,10.61484,1.06973,8.95646,0.98148,-0.07166,-0.1538,-0.08894,1,1,1
9,1,10.58433,1.06918,8.98564,0.98148,-0.07166,-0.1538,-0.08894,1,1,1
9,2,10.56418,1.08218,9.03936,0.98077,-0.06395,-0.17537,-0.05698,1.00005,1.00004,0.99999
9,3,10.55156,1.08763,9.07423,0.98156,-0.029,-0.17234,-0.07746,0.99996,0.99995,0.99995
9,4,10.54354,1.08964,9.09679,0.9833,-0.04957,-0.1447,-0.09865,1.00005,1.00001,1
9,5,10.53795,1.09336,9.11787,0.9833,-0.04957,-0.1447,-0.09865,1,1,1
9,6,10.62456,1.06285,8.9964,0.9546,-0.00707,-0.0276,-0.29654,1.00002,1.00001,0.99996
9,7,10.62237,1.0642,9.04144,0.96412,-0.17249,0.00283,-0.20178,0.99996,1.00004,1.00007
9,8,10.62465,1.07427,9.07,0.96668,-0.01407,-0.00272,-0.25559,1.00002,1.00001,0.99994
9,9,10.62469,1.07484,9.09006,0.96568,-0.00981,-0.05465,-0.25374,1.00002,0.99997,0.99997
